county,countyname,state,max_pop_county,max_pop_countyname,mi_to_county,dist_cat,meat_plant
2020,Anchorage Municipality,AK,2020,Anchorage Municipality,0,1,N
1073,Jefferson County,AL,1073,Jefferson County,0,1,N
5119,Pulaski County,AR,5119,Pulaski County,0,1,N
4013,Maricopa County,AZ,4013,Maricopa County,0,1,N
6037,Los Angeles County,CA,6037,Los Angeles County,0,1,N
8031,Denver County,CO,8031,Denver County,0,1,Y
9001,Fairfield County,CT,9001,Fairfield County,0,1,N
11001,District of Columbia,DC,11001,District of Columbia,0,1,N
10001,Kenty County,DE,10001,Kent County,0,1,N
12086,Miami-Dade County,FL,12086,Miami-Dade County,0,1,N
13121,Fulton County,GA,13121,Fulton County,0,1,N
15003,Honolulu County,HI,15003,Honolulu County,0,1,N
19153,Polk County,IA,19153,Polk County,0,1,N
16001,Ada County,ID,16001,Ada County,0,1,N
17031,Cook County,IL,17031,Cook County,0,1,N
18097,Marion County,IN,18097,Marion County,0,1,N
20173,Sedgwick County,KS,20173,Sedgwick County,0,1,N
21111,Jefferson County,KY,21111,Jefferson County,0,1,N
22071,Orleans Parish,LA,22017,Orleans Parish,0,1,N
25025,Suffolk County,MA,25025,Suffolk County,0,1,N
24510,Baltimore County,MD,24510,Baltimore County,0,1,N
23005,Cumberland County,ME,23005,Cumberland County,0,1,N
26163,Wayne County,MI,26163,Wayne County,0,1,Y
27053,Hennepin County,MN,27053,Hennepin County,0,1,N
29510,St. Louis County,MO,29510,St. Louis County,0,1,N
28049,Hinds County,MS,28049,Hinds County,0,1,N
30111,Yellowstone County,MT,30111,Yellowstone County,0,1,N
37001,Mecklenburg County,NC,37119,Mecklenburg County,0,1,N
38017,Cass County,ND,38017,Cass County,0,1,N
31055,Douglas County,NE,31055,Douglas County,0,1,Y
33011,Hillsborough County,NH,33011,HIllsborough County,0,1,N
34021,Mercer County,NJ,34021,Mercer County,0,1,N
35001,Bernalillo County,NM,35001,Bernalillo County,0,1,N
32003,Clark County,NV,32003,Clark County,0,1,N
36061,New York County,NY,36061,New York County,0,1,N
39035,Cuyahoga County,OH,39035,Cuyahoga County,0,1,N
40109,Oklahoma County,OK,40109,Oklahoma County,0,1,N
41051,Multnomah County,OR,41051,MUltnomah County,0,1,N
42101,Philadelphia County,PA,42101,Philadelphia County,0,1,Y
72127,San Juan Municipio,PR,72127,San Juan Municipio,0,1,N
44007,Providence County,RI,44007,Providence County,0,1,N
45019,Charleston County,SC,45019,Charleston County,0,1,N
46099,Minnehaha County,SD,46099,Minnehaha County,0,1,N
47037,Davidson County,TN,47037,Davidson County,0,1,N
48113,Dallas County,TX,48113,Dallas County,0,1,Y
49035,Salt Lake County,UT,49035,Salt Lake County,0,1,N
51810,Virginia Beach County,VA,51810,Virginia Beach County,0,1,N
50007,Chittenden County,VT,50007,Chittenden County,0,1,N
53033,King County,WA,53033,King County,0,1,N
55079,Milwaukee County,WI,55079,Milwaukee County,0,1,N
54011,Cabell County,WV,54011,Cabell County,0,1,N
56021,Laramie County,WY,56021,Laramie County,0,1,N
72033,Cataño Municipio,PR,72127,San Juan Municipio,5.25,2,N
72061,Guaynabo Municipio,PR,72127,San Juan Municipio,6.18,2,N
72031,Carolina Municipio,PR,72127,San Juan Municipio,6.75,2,N
72139,Trujillo Alto Municipio,PR,72127,San Juan Municipio,7.39,2,N
36005,Bronx County,NY,36061,New York County,7.9,2,N
72021,Bayamón Municipio,PR,72127,San Juan Municipio,8.24,2,N
72137,Toa Baja Municipio,PR,72127,San Juan Municipio,8.53,2,N
36047,Kings County,NY,36061,New York County,9.82,2,N
24005,Baltimore County,MD,24510,Baltimore County,9.88,2,N
36081,Queens County,NY,36061,New York County,10.7,2,N
29189,St. Louis County,MO,29510,St. Louis County,10.87,2,N
72087,Loíza Municipio,PR,72127,San Juan Municipio,11.4,2,N
72063,Gurabo Municipio,PR,72127,San Juan Municipio,11.81,2,N
13067,Cobb County,GA,13121,Fulton County,12.01,2,N
72007,Aguas Buenas Municipio,PR,72127,San Juan Municipio,12.12,2,N
72135,Toa Alta Municipio,PR,72127,San Juan Municipio,12.25,2,N
31153,Sarpy County,NE,31055,Douglas County,12.79,2,N
72051,Dorado Municipio,PR,72127,San Juan Municipio,13.09,2,N
44003,Kent County,RI,44007,Providence County,13.32,2,N
72029,Canóvanas Municipio,PR,72127,San Juan Municipio,13.59,2,N
25021,Norfolk County,MA,25025,Suffolk County,13.87,2,N
13089,DeKalb County,GA,13121,Fulton County,13.95,2,N
72025,Caguas Municipio,PR,72127,San Juan Municipio,14.64,2,N
72105,Naranjito Municipio,PR,72127,San Juan Municipio,15.21,2,N
21029,Bullitt County,KY,21111,Jefferson County,15.4,2,N
42045,Delaware County,PA,42101,Philadelphia County,15.45,2,N
51710,Norfolk city,VA,51810,Virginia Beach County,15.73,2,N
8014,Broomfield County,CO,8031,Denver County,16.06,2,N
13063,Clayton County,GA,13121,Fulton County,16.73,2,N
31177,Washington County,NE,31055,Douglas County,16.77,2,N
51550,Chesapeake city,VA,51810,Virginia Beach County,16.86,2,N
72045,Comerío Municipio,PR,72127,San Juan Municipio,16.9,2,N
36085,Richmond County,NY,36061,New York County,17.1,2,N
24027,Howard County,MD,24510,Baltimore County,17.11,2,N
72077,Juncos Municipio,PR,72127,San Juan Municipio,17.24,2,N
72143,Vega Alta Municipio,PR,72127,San Juan Municipio,17.6,2,N
72119,Río Grande Municipio,PR,72127,San Juan Municipio,17.96,2,N
21185,Oldham County,KY,21111,Jefferson County,18.19,2,N
72041,Cidra Municipio,PR,72127,San Juan Municipio,18.2,2,N
13097,Douglas County,GA,13121,Fulton County,18.22,2,N
27123,Ramsey County,MN,27053,Hennepin County,18.33,2,N
55101,Racine County,WI,55079,Milwaukee County,18.52,2,N
47021,Cheatham County,TN,47037,Davidson County,18.59,2,N
37025,Cabarrus County,NC,37119,Mecklenburg County,18.6,2,N
42091,Montgomery County,PA,42101,Philadelphia County,18.68,2,Y
72047,Corozal Municipio,PR,72127,San Juan Municipio,18.8,2,N
44001,Bristol County,RI,44007,Providence County,18.93,2,N
34023,Middlesex County,NJ,34021,Mercer County,19,2,N
51740,Portsmouth city,VA,51810,Virginia Beach County,19.19,2,N
54079,Putnam County,WV,54011,Cabell County,19.3,2,N
54043,Lincoln County,WV,54011,Cabell County,19.35,2,N
18057,Hamilton County,IN,18097,Marion County,19.42,2,N
18059,Hancock County,IN,18097,Marion County,19.46,2,N
