county,countyname,state,max_pop_county,max_pop_countyname,mi_to_county,dist_cat
55031,Douglas County,WI,55079,Milwaukee County,321.67,6
6005,Amador County,CA,6037,Los Angeles County,322.22,6
48007,Aransas County,TX,48113,Dallas County,322.38,6
48507,Zavala County,TX,48113,Dallas County,322.44,6
48461,Upton County,TX,48113,Dallas County,323.26,6
48445,Terry County,TX,48113,Dallas County,323.51,6
48465,Val Verde County,TX,48113,Dallas County,325.71,6
48219,Hockley County,TX,48113,Dallas County,326.92,6
12125,Union County,FL,12086,Miami-Dade County,327.54,6
51191,Washington County,VA,51810,Virginia Beach County,327.98,6
17127,Massac County,IL,17031,Cook County,328.12,6
32510,Carson City,NV,32003,Clark County,328.74,6
6013,Contra Costa County,CA,6037,Los Angeles County,329.55,6
2164,Lake and Peninsula Borough,AK,2020,Anchorage Municipality,330.30,6
48381,Randall County,TX,48113,Dallas County,330.39,6
2070,Dillingham Census Area,AK,2020,Anchorage Municipality,330.50,6
31161,Sheridan County,NE,31055,Douglas County,331.30,6
48409,San Patricio County,TX,48113,Dallas County,331.49,6
32029,Storey County,NV,32003,Clark County,331.92,6
17153,Pulaski County,IL,17031,Cook County,332.75,6
46033,Custer County,SD,46099,Minnehaha County,333.05,6
30061,Mineral County,MT,30111,Yellowstone County,333.24,6
56029,Park County,WY,56021,Laramie County,333.40,6
51027,Buchanan County,VA,51810,Virginia Beach County,333.42,6
48279,Lamb County,TX,48113,Dallas County,333.51,6
12031,Duval County,FL,12086,Miami-Dade County,333.89,6
48357,Ochiltree County,TX,48113,Dallas County,334.14,6
48283,La Salle County,TX,48113,Dallas County,334.81,6
51167,Russell County,VA,51810,Virginia Beach County,335.79,6
16017,Bonner County,ID,16001,Ada County,336.54,6
48233,Hutchinson County,TX,48113,Dallas County,336.76,6
17003,Alexander County,IL,17031,Cook County,337.88,6
48069,Castro County,TX,48113,Dallas County,337.95,6
46047,Fall River County,SD,46099,Minnehaha County,338.24,6
51520,Bristol city,VA,51810,Virginia Beach County,339.92,6
48165,Gaines County,TX,48113,Dallas County,340.07,6
6067,Sacramento County,CA,6037,Los Angeles County,340.16,6
32007,Elko County,NV,32003,Clark County,340.90,6
6017,El Dorado County,CA,6037,Los Angeles County,341.25,6
26095,Luce County,MI,26163,Wayne County,341.30,6
48135,Ector County,TX,48113,Dallas County,342.24,6
46019,Butte County,SD,46099,Minnehaha County,342.30,6
48003,Andrews County,TX,48113,Dallas County,342.83,6
12003,Baker County,FL,12086,Miami-Dade County,343.77,6
12023,Columbia County,FL,12086,Miami-Dade County,343.93,6
12067,Lafayette County,FL,12086,Miami-Dade County,344.04,6
26043,Dickinson County,MI,26163,Wayne County,344.05,6
48375,Potter County,TX,48113,Dallas County,344.53,6
32027,Pershing County,NV,32003,Clark County,345.05,6
48103,Crane County,TX,48113,Dallas County,346.80,6
6095,Solano County,CA,6037,Los Angeles County,347.96,6
48323,Maverick County,TX,48113,Dallas County,348.11,6
48127,Dimmit County,TX,48113,Dallas County,348.71,6
30089,Sanders County,MT,30111,Yellowstone County,349.47,6
51051,Dickenson County,VA,51810,Virginia Beach County,350.03,6
48355,Nueces County,TX,48113,Dallas County,350.19,6
46081,Lawrence County,SD,46099,Minnehaha County,350.99,6
12121,Suwannee County,FL,12086,Miami-Dade County,351.07,6
48501,Yoakum County,TX,48113,Dallas County,351.50,6
12089,Nassau County,FL,12086,Miami-Dade County,353.66,6
46063,Harding County,SD,46099,Minnehaha County,354.24,6
48079,Cochran County,TX,48113,Dallas County,354.69,6
31123,Morrill County,NE,31055,Douglas County,354.88,6
